('0', '1', 'D', '2') 69618
('0', '1', 'D', '3') 60693
('0', '1', 'D', '4') 777
('0', '1', 'D', '5') 55777
('0', '1', 'D', '6') 11727
('0', '1', 'D', '7') 35871
('0', '1', 'D', '8') 28680
('0', '1', 'D', '9') 57059
('0', '1', 'D', 'A') 7935
('0', '1', 'D', 'B') 32623
('0', '1', 'D', 'C') 9247
('0', '1', 'D', 'D') 30799
('0', '1', 'D', 'E') 43719
('0', '1', 'D', 'F') 86527
('0', '1', 'E', '0') 6351
('0', '1', 'E', '1') 6095
('0', '1', 'E', '2') 136806
('0', '1', 'E', '3') 8671
('0', '1', 'E', '4') 110660
('0', '1', 'E', '5') 12383
('0', '1', 'E', '6') 13935
('0', '1', 'E', '7') 30580
('0', '1', 'E', '8') 785
('0', '1', 'E', '9') 18607
('0', '1', 'E', 'A') 11185
('0', '1', 'E', 'B') 85743
('0', '1', 'E', 'C') 2627
('0', '1', 'E', 'D') 15791
('0', '1', 'E', 'E') 28303
('0', '1', 'E', 'F') 111215
('0', '1', 'F', '0') 17016
('0', '1', 'F', '1') 51813
('0', '1', 'F', '2') 450
('0', '1', 'F', '3') 58335
('0', '1', 'F', '4') 15065
('0', '1', 'F', '5') 70511
('0', '1', 'F', '6') 9935
('0', '1', 'F', '7') 17471
('0', '1', 'F', '8') 17024
('0', '1', 'F', '9') 13535
('0', '1', 'F', 'A') 48503
('0', '1', 'F', 'B') 15057
('0', '1', 'F', 'C') 29184
('0', '1', 'F', 'D') 11177
('0', '1', 'F', 'E') 94335
('0', '1', 'F', 'F') 19071
('0', '2', '0', '0') 1819
('0', '2', '0', '1') 41951
('0', '2', '0', '2') 13609
('0', '2', '0', '3') 7503
('0', '2', '0', '4') 9638
('0', '2', '0', '5') 50081
('0', '2', '0', '6') 22735
('0', '2', '0', '7') 3823
('0', '2', '0', '8') 5064
('0', '2', '0', '9') 11686
('0', '2', '0', 'A') 108440
('0', '2', '0', 'B') 11503
('0', '2', '0', 'C') 20767
('0', '2', '0', 'D') 115270
('0', '2', '0', 'E') 16943
('0', '2', '0', 'F') 7049
('0', '2', '1', '0') 18415
('0', '2', '1', '1') 3663
('0', '2', '1', '2') 28847
('0', '2', '1', '3') 5894
('0', '2', '1', '4') 166111
('0', '2', '1', '5') 22079
('0', '2', '1', '6') 115113
('0', '2', '1', '7') 171519
('0', '2', '1', '8') 58738
('0', '2', '1', '9') 106367
('0', '2', '1', 'A') 12783
('0', '2', '1', 'B') 7057
('0', '2', '1', 'C') 1503
('0', '2', '1', 'D') 80223
('0', '2', '1', 'E') 4816
('0', '2', '1', 'F') 3474
('0', '2', '2', '0') 16678
('0', '2', '2', '1') 4808
('0', '2', '2', '2') 16244
('0', '2', '2', '3') 48611
('0', '2', '2', '4') 4745
('0', '2', '2', '5') 20549
('0', '2', '2', '6') 3839
('0', '2', '2', '7') 34437
('0', '2', '2', '8') 60127
('0', '2', '2', '9') 29487
('0', '2', '2', 'A') 84719
('0', '2', '2', 'B') 13456
('0', '2', '2', 'C') 13448
('0', '2', '2', 'D') 13593
('0', '2', '2', 'E') 32719
('0', '2', '2', 'F') 5199
('0', '2', '3', '0') 34848
('0', '2', '3', '1') 255185
('0', '2', '3', '2') 677
('0', '2', '3', '3') 7951
('0', '2', '3', '4') 78399
('0', '2', '3', '5') 69138
('0', '2', '3', '6') 6977
('0', '2', '3', '7') 43695
('0', '2', '3', '8') 1375
('0', '2', '3', '9') 16690
('0', '2', '3', 'A') 30150
('0', '2', '3', 'B') 40467
('0', '2', '3', 'C') 34239
('0', '2', '3', 'D') 1940
('0', '2', '3', 'E') 26319
('0', '2', '3', 'F') 89430
('0', '2', '4', '0') 56169
('0', '2', '4', '1') 23476
('0', '2', '4', '2') 54287
('0', '2', '4', '3') 79967
('0', '2', '4', '4') 45751
('0', '2', '4', '5') 36022
('0', '2', '4', '6') 3871
('0', '2', '4', '7') 18847
('0', '2', '4', '8') 55206
('0', '2', '4', '9') 3801
('0', '2', '4', 'A') 415
('0', '2', '4', 'B') 53631
('0', '2', '4', 'C') 5839
('0', '2', '4', 'D') 30659
('0', '2', '4', 'E') 51327
('0', '2', '4', 'F') 58019
('0', '2', '5', '0') 3809
('0', '2', '5', '1') 11717
('0', '2', '5', '2') 50073
('0', '2', '5', '3') 83919
('0', '2', '5', '4') 16327
('0', '2', '5', '5') 4753
('0', '2', '5', '6') 59327
('0', '2', '5', '7') 9887
('0', '2', '5', '8') 5119
('0', '2', '5', '9') 80063
('0', '2', '5', 'A') 21507
('0', '2', '5', 'B') 105208
('0', '2', '5', 'C') 51414
('0', '2', '5', 'D') 2047
('0', '2', '5', 'E') 19535
('0', '2', '5', 'F') 49615
('0', '2', '6', '0') 79823
('0', '2', '6', '1') 72144
('0', '2', '6', '2') 20583
('0', '2', '6', '3') 20591
('0', '2', '6', '4') 94559
('0', '2', '6', '5') 41455
('0', '2', '6', '6') 21048
('0', '2', '6', '7') 37871
('0', '2', '6', '8') 17663
('0', '2', '6', '9') 21056
('0', '2', '6', 'A') 9279
('0', '2', '6', 'B') 193743
('0', '2', '6', 'C') 51657
('0', '2', '6', 'D') 13967
('0', '2', '6', 'E') 10689
('0', '2', '6', 'F') 57143
('0', '2', '7', '0') 12538
('0', '2', '7', '1') 82031
('0', '2', '7', '2') 62209
('0', '2', '7', '3') 2505
('0', '2', '7', '4') 33670
('0', '2', '7', '5') 28047
('0', '2', '7', '6') 10431
('0', '2', '7', '7') 14927
('0', '2', '7', '8') 46586
